workerid,explanation,trial
1403,Riley had enough time.,7
1403,"Blake couldn't effectively block Robin and Blake moved the box back, anyway.",9
1403,London got in the way and Max didn't wait.,11
1403,Brooklyn took the longest path.,12
1403,Quinn stopped moving.,13
1403,Angel ran out of time by taking the longest path.,14
1403,Kirby didn't wait to see what Flynn would do and took the longest path.,15
1403,Lake moved the box out of the shortest path.,16
1403,"Atlas blocked the shortest path, so River ran out of time.",17
1403,Rory couldn't completely block Skyler.,18
1403,Oakley didn't try to block.,19
1403,Sunny made Addison think she would move the box.,20
1403,Kris failed to move soon enough.,21
1403,Emery took one wrong step and saw Phoenix might block.,22
1403,Harley blocked the shortest path.,23
1403,Sasha moved the wrong way at one point.,24
1404,Noah didn't wait for Alex to remove the obstruction.  Noah just tried to take an alternate route.  That is ultimately prevented them from reaching the objective.,1
1404,Ari reached goal by the way of Cameron removing the obstruction.  Teamwork made it possible for Ari to succeed.,2
1404,"Harper didn't give Whitney an opportunity to cooperate and remove the obstruction.   Harper tried to take the long way, and failed to manage their allowable turn count.",3
1404,"Logan succeeded, because hunter cooperated, and removed the obstruction from Logan's path.",4
1404,"Jordan acted as a foil for Avery.  Jordan blocked Avery's path, on two separate occasions, and thus prevented Avery from reaching goal.",5
1404,"Madison reached the objective, simply because Darcy didn't try to block Madison.",6
1404,"Brook did choose to cooperate, and move the obstruction, but, ultimately, Riley was able to take the long way, and still reach goal.",7
1404,"Hayden succeeded, because Cedar removed the obstruction.  Cedar cleared the path, between Hayden and the star.",8
1404,"While Blake did choose to move the obstruction, that didn't have any real influence on Robin.  Robin reached the goal, just by proceeding directly to the objective.",9
1404,"Bryce cooperated, and moved the obstruction.  That allowed Sloan to take a direct path towards the objective.",10
1404,Max didn't proceed directly to the objective.  They didn't make the most of their available moves.,11
1404,"Brooklyn tried to take the long way around.  They didn't factor in the available turns, and they didn't avail themselves of the shortest path to goal.",12
1404,"Chandler succeeded, in spite of Quinn blocking Chandler.   Chandler simply went around Quinn, and still reached the objective.",13
1404,Angel failed because they did a poor job of managing available moves.  Angel backtracked and didn't take a route that would allow them to get to goal.,14
1404,"Kirby tried to take the long way, and not take the shorter path.  Flynn cooperated, and removed the obstruction, but Flynn ignored the offered assistance.",15
1404,"Morgan succeeded, because Lake chose to cooperate and remove the obstruction from Morgan's path.",16
1404,"Atlas acted as a foil, blocking River's initial path, and preventing River from reaching the goal.",17
1404,"Skyler succeeded, in spite of Rory trying to obstruct them.  They were able to go the long way, and still reach the objective, even after Rory tried to block them.",18
1404,Taylor didn't wait for Oakley to cooperate.  Taylor simply took a direct and open route to the goal.,19
1404,"Addison failed, because Sunny chose not to cooperate, and remove the obstruction.  Sunny effectively chose to block Addison from reaching the star.",20
1404,"Cat proceeded, via shortest path to the goal, and Kris was either unwilling, or unable to block that path.",21
1404,"Emery failed because they didn't confidently press on, in their original route.  They backtracked, and that cost them too many movement turns.",22
1404,"Harley acted as a foil, for Indigo.  Harley blocked Indigo's path, and therefore prevented Indigo from reaching the objective.",23
1404,"Pressley took an easy, and relatively direct route to the objective.  Sasha tried to block Presley, but Sasha's petty gambit was ultimately doomed to fail.   Presley succeeded, in spite of Sasha.",24
1405,Alex blocked their way first by moving into their way then moving the block.,1
1405,They took a route that with Cameron's help allowed them to make it to the end in time.,2
1405,The route they took caused them to fail to make it to the end in time and Whitney blocked their way from taking a different route.,3
1405,They took a route that allowed them to make it to the end in time and Hunter moved the block to help them.,4
1405,Because Jordan moved the block into their way keeping them from making it to the end in time.,5
1405,They took a route that allowed them to make it to the end in time.,6
1405,Because they made it to the end in time.,7
1405,Because they made it to the end in time with Cedar's help.,8
1405,They made it to the end in time.,9
1405,They took a route that allowed to make it to the end in time with Bryce's help.,10
1405,They took a route that did not allow them to make it to the end in time.,11
1405,They failed to choose a route that would allow them to make it to the end in time.,12
1405,They took a route that allowed them to make it to the finish in time.,13
1405,They took the wrong route and didn't make it to the ned in time.,14
1405,They took the wrong route and could not make it to the end in time.,15
1405,They took a route that with Lake's help allowed them to make it to the end in time.,16
1405,Atlas blocked their progress keeping them from making it to the end in time.,17
1405,They chose a route that allowed them to make it to the end in time.,18
1405,They made it to the end in time.,19
1405,They failed to make it to the end in time because Sunny didn't move the block to help them make it in 10 moves.,20
1405,They took a route that allowed them to make it to the end in time.,21
1405,They used too many moves keeping them from making it to the end in time.,22
1405,Because Harley put the box in their way to block their progress and they ran out of time.,23
1405,They took a route that allowed them to make it to the end in time.,24
1407,Because Alex didn't move the block quickly enough and Noah didn't wait for it to move,1
1407,Because Ari waited for Cameron to move the block for them,2
1407,Because they didn't wait for Whitney to move the block for them,3
1407,Because they waited for Hunter to move the block for them,4
1407,Because Jordan blocked them,5
1407,Because Darcy chose not to block them with the box,6
1407,Because they avoided the block altogether,7
1407,Because Cedar moved the block for them,8
1407,Because Blake chose not to block them when they could have,9
1407,Because Bryce moved the block for them,10
1407,"Because they changed their mind about which route to use, which ate up too much time",11
1407,Because they took a long route around the block instead of waiting for Grey to move it and didn't have enough time,12
1407,Because they went around Quinn's block and Quinn didn't try to block them again,13
1407,"Because they changed their mind about which route to take, which ate up too much time",14
1407,"Because they went around the long way instead of waiting for Flynn to move the block, and then they didn't have enough time",15
1407,Because Lake moved the block for them,16
1407,Because Atlas blocked them and River didn't have enough time to get around it.,17
1407,Because they chose to avoid the block altogether,18
1407,Because they avoided the block,19
1407,Because Sunny didn't move the block away and Addison chose not to go down the right path until it was too late.,20
1407,"Because Kris didn't block them, or at least not fast enough",21
1407,They started down the left side but then went backwards and went down the right side and didn't have enough steps left to reach the star.,22
1407,Because Harley blocked them,23
1407,Because they avoided the block,24
1408,They used too many moved and Noah didn't move the block soon enough to allow them to make it to the end in time.,1
1408,Cameron moved the block and helped them to make it to the end in time.,2
1408,They took a route that prevented them from making it to the end in time.,3
1408,Hunter moved the block helping them to make it to the end in time.,4
1408,Jordan moved the box preventing Avery from making it to the finish in time.,5
1408,They chose a route that let them make it to the end in time.,6
1408,They chose a route that allowed them to make it to the end in time.,7
1408,They chose a route that with Cedar's help allowed them to make it to the end in time.,8
1408,They chose a route that allowed them to make it to the end in time.,9
1408,They chose a route with Bryce's help that allowed them to make it to the end in time.,10
1408,They took a route that used too many moves keeping them from making it to the end in time.,11
1408,They used too many moves and failed to make it to the end in time.,12
1408,They chose a route that let them make it to the end in time.,13
1408,They chose the wrong route and couldn't make it to the end in time.,14
1408,They chose a path that prevented them from making it to the finish in time.,15
1408,Because Lake moved the block allowing them to make it to the finish in time.,16
1408,Atlas moved the block into River's way blocking a path that could have helped them make it to the end in time.,17
1408,They took a route that allowed them to make it to the end in time.,18
1408,They took a route that allowed them to make it to the end in time.,19
1408,Sunny didn't move the block which kept them from making it to the end in time.,20
1408,They chose a path that allowed them to make it to the finish in time.,21
1408,They took a route that prevented them from making it to the finish in time.,22
1408,Harley moved the block preventing them from making it to the finish in time.,23
1408,They chose a route that allowed them to make it to the end in time.,24
1409,Noah did not wait to take advantage of Alex's help.,1
1409,Ari waited for Cameron to free up the shortest path to the goal.,2
1409,Harper did not move in such a way to take advantage of Whitney's attempt to help. Harper moved as though assuming Whitney would not help.,3
1409,Hunter moved the block so that Hunter could get through.,4
1409,Jordan blocked Avery's path.,5
1409,There were enough turns for Madison to get there despite being blocked for a bit by Darcy,6
1409,There were enough turns to get there multiple ways,7
1409,Hayden waited to see what Cedar was going to do. Cedar decided to help and Hayden continued to the goal.,8
1409,There was a direct path to the goal that did not require moving the block.,9
1409,"Sloan had confidence that Bryce was going to help, and Bryce did help.",10
1409,Max did not take advantage of London's attempt to help.,11
1409,"Brooklyn tried to get to the goal alone and did not have enough turns.  Grey tried to help, but it was in vain.",12
1409,There were enough turns that Chandler was able to get there despite Quinn's efforts.,13
1409,angel changed direction when there were not enough moves to allow this.,14
1409,Kirby did not trust Flynn and tried to take a path that was too long.,15
1409,Lake unblocked the shortest path to the goal as Morgan had hoped.,16
1409,Atlas blocked the shortest path to the goal.,17
1409,"Skyler did not trust in Rory's help, and that turned out to be a wise decision.",18
1409,Taylor chose a path that did not depend on Oakley's help.,19
1409,"Addison assumed Sunny was not going to help. Once it was clear that was not true, there were not enough turns to turn around and get to the star the other way.",20
1409,Cat succeeded because Kris did not block the path.,21
1409,Emery lost trust in Phoenix to help and changed direction and in so doing used up too many turns to get there in time by the other direction.  It looks somewhat likely that Phoenix would indeed have blocked off the initial path,22
1409,Harley blocked the path Indigo was trying to take.,23
1409,"Presley chose the path that did not depend on Sasha's actions, and thus was not affected by the attempt at sabotage.",24
1410,"Despite Alex moving the block, Noah took too many moves so he didn't make it to the goal in enough steps.",1
1410,Because Cameron moved the box out of his way.,2
1410,Hunter moved the block that was on the path,4
1410,"Jordan moved the block in the way of the easiest path, and backtracking took up additional moves.",5
1410,The path to the star was pretty easy to get to without action from Darcy.,6
1410,"Although Brook moved the block, Riley was able to find an alternate path that got the same result.",7
1410,"Cedar moved the block, so it was easier for Hayden to access the star.",8
1410,"Despite Blake moving the block, the star was rather easy to get to anyway.",9
1410,"Because Bryce moved the block, Sloan had an easier time getting to the star.",10
1410,Max didn't take a logical path that would have been 9 moves after London moved the block.,11
1410,Brooklyn took a path that was too many moves.,12
1410,The path too the star was pretty free and open overall.,13
1410,Because they were hesitant and took a path with too many steps.,14
1410,"Instead of waiting for Flynn to move the block, Kirby took a longer path that was too many moves.",15
1410,Because Lake moved the box out of the way of the easiest route.,16
1410,"Atlas decided to move the box in front of the easiest path, so River had to take an alternate path.",17
1410,"Despite Rory trying to block the path, Skyler stuck to a logical one and was able to reach the star in the allotted moves.",18
1410,The path to the star was really easy to get to.,19
1410,"Addison expected Sunny to move the block. She didn't. Because of this, Addison tried to take an alternate route, but it was too long.",20
1410,"Kris didn't move the block in Cat's way, so they were successful in reaching the goal.",21
1410,Emery took too many back pedal steps.,22
1410,"Harley put the block in the easiest path, so Indigo couldn't reach it in time.",23
1410,"Sasha moved out of the way, and no box was blocking the path, so Presley had a pretty straight shot towards the star",24
1412,Alex made a block causing Noah to make extra moves and run out of time,1
1412,Cameron lifted his black box so that Ari could go around it,2
1412,Blue did a great job on blocking her and because of that she ran out of time,3
1412,Logan was blocked but was able to make moves to succeed within the time limit,4
1412,Blue did an excellent job of blocking her,5
1412,The blue guy pushed the box the wrong way.,6
1412,She realized that she had made a mistake and corrected the direction before the time ran out,7
1412,Cedar moved his block so that Hayden could get right through,8
1412,the blue guy pushed his box away from the red guy,9
1412,Blue made a bad decision and didn't block red well,10
1412,London made some good blocks forcing max to make extra moves and run out of time,11
1412,There were too many obstacles for Taylor to have success,12
1412,The blue guy pushed his box into a section that had a wall on two sides.,13
1412,Angel went in the wrong direction at first which caused wasted moves and she ran out of time,14
1412,Kirby had to go all the way around and ran out of time,15
1412,Lake should not have moved out of the way for Morgan to get tot the star within the time,16
1412,Atlas successfully blocked River causing her to run out of time,17
1412,There was no way for Rory to block Skyer,18
1412,Oakley got stuck against a wall making it easy for Taylor to succeed,19
1412,Addison went the wrong way at first forcing her to run out of time by the time she realized her mistake,20
1412,Kris was unable to successfully block Cat,21
1412,Emery ran out of moves because she had to go and take some extra moves because she was afraid of a block.,22
1412,Indigo was blocked by the black bos which the blue guy pushed in her direction,23
1412,The blue guy pushed his box in the wrong direction.,24
1414,Because he could not get around Alex.,1
1414,Because Cameron moved the block.,2
1414,Because he took too many steps and went the longest way.,3
1414,Because Hunter moved the block out of the way.,4
1414,Because Jordan moved the block in front of him.,5
1414,"Because he went around Darcy while he was moving the block.
",6
1414,Because he adapted to counter Brook's movements.,7
1414,Because Cedar moved the block out of the way,8
1414,Because he went around the block and Blake did not push it.,9
1414,Because Bryce moved the block out of the way.,10
1414,Because London kept getting in front of him and he used all his steps.,11
1414,"Because he took too long of a way.
",12
1414,Because he adapted to move around Quinn.,13
1414,Because he took too long of a path.,14
1414,Because he took the long way and not the short one.,15
1414,Because Lake moved the block out of the way.,16
1414,Because Atlas blocked the path.,17
1414,Because he went to the opposite side of Rory.,18
1414,Because Oakley did not do much movement.,19
1414,Because he went toward the block and Sunny did not move it.,20
1414,Because he took one too many steps when he backtracked.,22
1414,Because Harley blocked the path with the block.,23
1414,Because he chose the same path that Sasha moved from.,24
1416,"Alex kept getting in their way.
",1
1416,"Cameron moved the box out of the way.
",2
1416,Whitney tried to get in their way.,3
1416,Hunter moved the box out of the way.,4
1416,Jordan pushed the box in their way.,5
1416,Darcy could not impede their path.,6
1416,Brock was not able to block their path.,7
1416,"Cedar moved the box out of their path.
",8
1416,Blake could not impede his path.,9
1416,"Bryce got the box out of the way in time.
",10
1416,London made it so their path was longer.,11
1416,Grey made them take a longer path.,12
1416,"They were successfully able to avoid the box.
",13
1416,Angel avoided Sage.,14
1416,They took a longer path since they couldn't trust Flynn.,15
1416,Lake moved the box out of the way.,16
1416,Atlas made them take a longer path.,17
1416,They used the path that couldn't be blocked.,18
1416,"They picked the quickest path.
",19
1416,Sunny refused to move the box.,20
1416,Kris didn't move the box.,21
1416,Emery was unconfident in their moves.,22
1416,Harley impeded his path with the box.,23
1416,They picked the quickest path.,24
1417,He went back and down instead of waiting for Alex to move the box.,1
1417,"Cameron moved the box out of the way, making a short enough path so Ari could make it in time. ",2
1417,Whitney got in the way.,3
1417,Hunter helped and moved the box out of the way.,4
1417,Jordan blocked Avery with the box.,5
1417,Madison chose the shortest and most direct path to the star.,6
1417,Riley chose the shortest unobstructed path.,7
1417,"Cedar moved the box out of the way, making a path that was short enough to make it in time. ",8
1417,They chose an unobstructed path that was short enough to make it in time. ,9
1417,"Bryce moved the box out of the way, making a path that was short enough to make it in time. ",10
1417,He went too car down and took too long,11
1417,"He was able to get around, even though Quinn moved the box and got in his way.",13
1417,He went the long way and they ran out of turns.,14
1417,"Lake moved the box out of the way, making a path that was short enough to make it in time. ",16
1417,Atlas blocked the path with the box and they didn't take the direct path to the right.,17
1417,Skyler chose the most direct and unobstructed path to the star.,18
1417,They took an unobstructed path that was short enough to make it in time. ,19
1417,"Addison started to go towards the box, but since Sunny did not move the box he could not go that way and had to double back, taking too long.",20
1417,They chose an unobstructed path that was short enough and Kris didn't block the path.,21
1417,They doubled back instead of going straight through. ,22
1417,Harley blocked the way with the box.,23
1417,They chose a path that was unobstructed and short enough to make it in time.,24
1420,"Noah didn't trust that Alex was going to pull back the box, as such they took unnecessary steps and could not make it to the star in time.",1
1420,"Cameron pulled back the box that was blocking Ari's path, thus allowing them to reach the star within the step limit. ",2
1420,"Whitney moved back one step and blocked Harper's path, thus not allowing to make it to the star in time.",3
1420,Hunter pulled back the box and allowed Logan the most direct path to the star.,4
1420,"Using themselves and by pushing the box, Jordan blocked Avery's route several times and prevented them from reaching the star in time.",5
1420,Madison's route allowed to reach the star in time despite being blocked by Darcy for one step.,6
1420,Riley navigated their way towards the star and Brook used one of their steps to get out of the way of Riley.,7
1420,Cedar pulled back the box and allowed Hayden a direct route to the star.,8
1420,"Blake pulled the box out of Robin's path, allowing them to reach the star with steps to spare.",9
1420,"Bryce pulled back the box, thus allowing Sloan to reach the star with minimal steps.",10
1420,London themselves blocked Max's path thus resulting in them not having enough time steps to reach the star.,11
1420,"Not knowing that Grey was going to pull back the block, Brooklyn took a route that was too many steps.",12
1420,"Despite being blocked by Quinn during one step, Chandler was able to circumvent them and make it to the star in time.",13
1420,Angel failed because they took an unnecessarily long path to the star and used too many steps.,14
1420,"Perhaps because they didn't trust Flynn to pull back the box from their path, Kirby chose a route to the star that was barrier free but too many steps.",15
1420,Lake pulled back the box blocking Morgan's path thus allowing them to make it to the star in time.,16
1420,"Atlas pushed the box into the path of River, thus not allowing River to reach the star in time.",17
1420,Skyler took a route to the star that bypassed Rory and the box completely and was able to make it to the star without being blocked. ,18
1420,Taylor took the route to the star that was within the step limit and had no chance of being blocked. ,19
1420,Addison failed because they took a path where the box was blocking their route and Sunny did not pull it back.,20
1420,Cat made their way to the star and Kris chose to only hold on to the box rather than push it into Cat's path.,21
1420,"Emery questioned their route and reversed, thus not having enough steps to reach the star.",22
1420,"Harley pushed the box into Indigo's path thus not letting them make it to the star in time, as both the box and Harley themselves created a barrier.",23
1420,"Sasha did not create any barriers for Presley, thus Presley took a direct route to the star with time to spare.",24
1421,"Noah failed because they did not wait for Alex to move the block, instead they moved far away and didn't have time to reach the star.",1
1421,"Ari trusted that Cameron would move the block, so waited next to it. Cameron did move the block to make a path.",2
1421,"I'm not sure why Harper failed. They probably didn't trust Whitney, so took the long way and ran out of time.",3
1421,"Logan trusted Hunter to move the block, and they did.",4
1421,It was impossible for Avery to succeed with Jordan blocking both passages.,5
1421,Madison did not trust Darcy and just went around.,6
1421,Riley just went around and made it to the star.,7
1421,Hayden succeeded because Cedar helped.,8
1421,"It looks like Robin succeeded because they started in a position that they would have succeeded no matter what, and Blake could not stop them if they wanted.",9
1421,Sloan succeeded because Bryce moved the block out of the way to clear a path.,10
1421,Max failed because London was in the way of the path Max would have needed to take to reach the star in time.,11
1421,Brooklyn didn't trust Grey to help them but didn't realize that they didn't have time to go the long way.,12
1421,"Chandler succeeded because even though Quinn tried to stop them, they didn't do it effectively and Chandler could go around.",13
1421,Angel failed because they didn't trust Sage but didn't realize they didn't have time to go the long way.,14
1421,"Kirby failed because they didn't trust Flynn so went the long way, but they didn't calculate that they wouldn't have time to go that way.",15
1421,Morgan succeeded because Lake moved the block out of the way to clear a path to the star.,16
1421,River failed because Atlas pushed the block in the path.,17
1421,"Skyler succeeded because they went long way around Rory, who ended up trying to block them.",18
1421,"Taylor succeeded because they didn't trust Oakley, who tried to block them, and they did have time to go the long way.",19
1421,"Addison thought Sunny was going to help by pulling the block, and spent time moving toward the block. Alas, they were mistaken. Sunny did not help, and Addison had to backtrack and ran out of time.",20
1421,I'm not sure why. Cat succeeded because either Kris wanted to help them or they were not paying attention and waited to long to move.,21
1421,"Emery trusted Phoenix at first and then had to backtrack when they changed their mind, so didn't have time.",22
1421,"Indigo failed because they trusted Harley, who blocked them.",23
1421,Sahsa moved the block to make a path.,24
1422,"Noah didn't wait for alex to move the block, so he was out of position and didn't have enough moves left once the block was moved from this path. ",1
1422,"Ari realized it would be impossible to reach the goal the long way, and so waited for Cameron to  help by moving the block. ",2
1422,"Harper didn't think Whitney would get in her way, which ended up making the path too long.",3
1422,"Logan assumed Hunter would move the block out of his way, so he waited for it to happen. ",4
1422,Jordan blocked Avery's path. ,5
1422,Madison reach the goal in time,6
1422,Riley took a safe route that didn't depend on Brook.,7
1422,Hayden relied on Ceder to move the block out of his way.,8
1422,Robin took the most direct path without relying on Blake to move the block out of her way. ,9
1422,Sloan assumed Bryce wouldn't move the block to make it a longer distance to the goal. ,10
1422,"London blocked Max with his body, which caused max to waste moves going around him",11
1422,Brooklyn didn't realize the long way was too far and she would need to rely on Grey moving the block,12
1422,Chandler was able to get around Quinn to reach the goal in time. ,13
1422,"Angel wasted moves, by going back after Sage moved.",14
1422,Kirby didn't realize that the long path was too long to reach the goal in the given moves. ,15
1422,Morgan realized the long path was too far given her limited moves and so she relied on Lake to move the block out of her way. ,16
1422,"River assumed Atlas wouldn't block the path, which was incorrect and ended up wasting moves. ",17
1422,Skyler took the safe route that Rory couldn't block. ,18
1422,Taylor took the safe route that didn't depend on Oakley moving the block.,19
1422,"Addison wasted moves by trusting sunny to move the block, and didn't have enough to succeed when sunny failed to move the block.",20
1422,"Cat reached the goal, Kris did not block cat's way",21
1422,Emery wasted a step and didn't have enough to reach the goal,22
1422,"Indigo assumed Harley would not block the path, which was incorrect and ended up costing her moves. ",23
1422,Presley was able to avoid the path Sasha blocked and reach the goal,24
1423,Noah didn't trust that Alex would move the box and went around and ran out of turns.,1
1423,Because Cameron moved the box out of the way for them. It was the only option to succeed.,2
1423,Whitney blocked Harper. I am not sure if Whitney did it on purpose or not because she was moving the block out of the way. ,3
1423,"Logan succeeded because Hunter moved the box for them, but they could've went around and still succeeded unless Hunter blocked them.",4
1423,Because they got blocked by Jordan both routes and ran out of turns. ,5
1423,Madison succeeded because they went around Darcy. ,6
1423,Because Riley went around Brook. Brook moved the box so they would've succeeded either way unless Brook tried to sabotage last second. ,7
1423,I think Hayden would've succeeded either way. Cedar just made it easier for them to get to the star faster.,8
1423,"Because Bryce moved the box. Bryce had the opportunity to sabotage, but didn't.",10
1423,London body blocked Max because London went up too early.,11
1423,"Brooklyn ran out of turns and it kind of looks like Grey got in their way, but Brooklyn could've gone one more block right at the beginning and wouldn't have ran out of turns. ",12
1423,Because Quinn didn't continue to body block Chandler. Quinn didn't need to move the box though.,13
1423,They rand out of turns because Sage was moving the box so they turned around and went the long way. ,14
1423,"Because the only way to succeed here was to trust that Flynn would move the box, and Kirby didn't even do the only option to succeed. ",15
1423,"Morgan succeeded because Lake moved the box. Morgan couldn't have gone around in this game, they needed Lake to move the box in order to succeed. ",16
1423,"River thought Atlas would let them go past, but if they went the other route they would've succeeded.",17
1423,Skyler succeeded because they didn't trust Rory and went around.,18
1423,Taylor went around instead of trusting that Oakley would move the box.,19
1423,Addison ran out of turns because instead of going around the wall she expected Sunny to move the box.,20
1423,Because Kris didn't do anything to hinder them getting to the star,21
1423,"I think Emery thought that Phoenix was going to block them, so they went around and ran out of turns. ",22
1423,Because Harley blocked them and if they decided to go the other route and Harley decided to block them over there they would've failed either way.,23
1423,Because they didn't trust Sasha and went around instead.,24
1424,Because he didn't wait for Alex to move the box.,1
1424,Ari succeeded because Cameron removed the block.,2
1424,Harper failed because it took him too long to go around Whitney,3
1424,Logan succeeded because Hunter removed the box.,4
1424,Avery failed because Jordan blocked him.,5
1424,Madison succeeded because Darcy was unable to block him.,6
1424,Riley succeeded because he went around Brook in spite of the fact that she had moved the box.,7
1424,Hayden succeeded because Cedar moved the box out of the way.,8
1424,Robin succeeded because Blake didn't block him.,9
1424,Sloan succeeded because he counted on Bryce to remove the box and he did..,10
1424,"Max failed because he tried to go around London, who had moved the box out of his way.",11
1424,Brooklyn failed because he tried to go around Grey instead of counting on her to remove the box.,12
1424,Chandler succeeded because he was able to go around Quinn who may have been trying to block him.,13
1424,Angel failed because he thought Sage was going to block his path and he backtracked.,14
1424,"Kirby failed because he thought Flynn was going to leave the best path blocked, which he didn't",15
1424,"Morgan succeeded because he counted on her to move the box, and she did.",16
1424,River failed because he counted on Atlas not to block him.  He chose poorly.,17
1424,Skyler succeeded by going around rory who could neither help nor hinder him.,18
1424,Taylor succeeded because Oakley didn't try to block him.,19
1424,Addison failed because he was hoping Sunny would move the box out of the way which didn't happen.  It too him too long to backtrack and go around.,20
1424,Cat succeeded because she counted on Kris not blocking her.  She chose well.,21
1424,Emery failed because he was afraid Phoenix was going to block him and he tried to go around.,22
1424,Indigo failed because Harley blocked the closest path & he had to backtrack.,23
1424,Presley succeeded by going around Sasha who may or may not have been trying to block him.,24
1425,Because Alex blocked them in the process of moving the box.,1
1425,Because Cameron moved the box out of their way.,2
1425,"They ran out of turns. If Whitney had stayed put, they would have made it.",3
1425,Because Hunter moved the box out of their way.,4
1425,Because Jordan repeatedly blocked them.,5
1425,Because Darcy moved out of their way.,6
1425,"Because in spite of going around the long way, they had enough turns to get there.",7
1425,Because Cedar moved the box out of their way.,8
1425,Because Blake didn't block them.,9
1425,Because Bryce moved the box out of their way.,10
1425,"Because London blocked them. They only had enough turns to go up and around, not down and around.",11
1425,Because Grey blocked them more than once.,12
1425,Because they had enough turns to go around Quinn and the box.,13
1425,"Because they went to the right at first. If they had gone all the way down and then right, they would have made it.",14
1425,Because they didn't give Flynn enough time to move the square out of the way and subsequently didn't have enough turns to make it.,15
1425,Because Lake moved the box out of their way.,16
1425,Because Atlas blocked them on the left side. They could have made it if they stuck to the right side of that wall.,17
1425,Because they had just enough turns to go around the wall and avoid Rory.,18
1425,Because they went the right way along the wall.,19
1425,"Because they wasted turns going down the left side of that wall, it would only work on the right side.",20
1425,Because Kris didn't make any moves besides grabbing the box. ,21
1425,Because they moved down one space on their 4th move.,22
1425,Because Harley blocked them. They might have made it if they gone to the right then down.,23
1425,Because Sasha moved themselves and the box out of the way.,24
1426,they didnt trust that alex would move it so they went the wrong way,1
1426,cameron moved the box out of the way,2
1426,whitney was in their way,3
1426,jordan blocked them,5
1426,they got to the star,7
1426,cedar moved the box out of the way,8
1426,they got to the star,9
1426,bryce helped hurry it by moving the box,10
1426,they thought grey would block them so they went the long way,12
1426,they got to the star first,13
1426,they didnt trust flynn to move the box so they went the long way,15
1426,atlas blocked them,17
1426,they got to the star,18
1426,they got to the star,19
1426,sunny faked them out by making it look like theyd move the box and then not moving it,20
1426,they correctly anticipated that kris wouldnt block them,21
1426,they tried to go the short way and then phoenix made it look like they were going to block them so they went the long way,22
1426,harley blocked them,23
1426,they got to the star,24
1427,Noah failed because it didn't wait for Alex to move the box. Noah tried to go another route and was blocked by Alex. But that didn't matter because it was a longer route.,1
1427,Ari succeeded because Cameron moved the box and Ari was able to make it to the star with enough time.,2
1427,Logan succeeded because Hunter moved the box blocking the passage and Logan was able to take the shorter route.,4
1427,Avery failed because it took the longer route and Jordan blocked the passage with a box. If Avery would've taken the shorter route it would've succeeded. ,5
1427,Madison succeeded because it made it to the star with enough time and took a route that Darcy did not block.,6
1427,Riley succeeded because they were able to go around Brook and make it to the star with enough time.,7
1427,"Hayden succeeded because Cedar moved the box from the route that Hayden chose. If Hayden would've went the other route, it still could've succeeded.",8
1427,Robin succeed because they were able to get to the star and there were no obstacles in their way.,9
1427,"Sloan succeeded because it reached the star in enough time. Bryce moved the box so Sloan could reach it sooner, but it didn't need the box moved to reach it in time.",10
1427,Max failed because it was avoiding London when selecting it's route and ended up taking too many steps and ran out of time. ,11
1427,Brooklyn failed because it took the longer route. If it would've taken the shorter route it would've passed because Grey moved the box.,12
1427,"Chandler succeeded because it maneuvered around Quinn, even though Quinn blocked Chandler and made Chandler take more steps. ",13
1427,Angel failed because it took the longer route. If Angel would've taken the shorter route and followed Sage it would've reached the star in time.,14
1427,"Kirby failed because they took the longer route. If Kirby would've went the shorter route, Flynn moved the box, with enough time for Kirby to reach the star.",15
1427,Morgan succeeded because it took the shorter route and Lake moved the box. Which allowed Morgan to reach the star in time.,16
1427,Because Atlas moved the box in to the opening that would've been quickest for River to get to the star. Because of this River needed to go further and failed.,17
1427,Skyler succeeded because it took the route that was not blocked by the box from Rory.,18
1427,Taylor succeeded because it was able to reach the star with enough time remaining. ,19
1427,"Addison failed, because it took the shorter route and Sunny didn't move the box blocking the passage. If Addison would've gone the other way it would've made it to the star in time.",20
1427,Cat succeeded because it was able to make it to the star without any obstacles.,21
1427,"Emery failed because it hesitated and tried to go one route and the chose to go another route. If it would've went with the route it chose second, emery would've succeeded.",22
1427,Because Harley moved the box in to the opening that would've been quickest for Indigo to get to the star. Because of this Indigo need to go further and failed.,23
1427,Presley succeeded because the route that it chose was not blocked by a box or by Sasha.,24
1428,Noah failed because he did not have faith in Alex's choices to move the box.,1
1428,Ari succeeded because they and Cameron worked together.,2
1428,Harper failed because they chose to go the long way around.,3
1428,Logan succeeded because Hunter helped him.,4
1428,Avery failed because Jordan blocked their path.,5
1428,Madison succeeded because they were patient.,6
1428,Riley succeeded even though they did not utilize Brook by sticking to their plan.,7
1428,"Hayden and Cedar trusted what the other would do, leading to success.",8
1428,Robin succeeded because they went straight to the star and there were no obstacles in their way.,9
1428,Sloan succeeded because they and Bryce worked together.,10
1428,Max failed because London blocked the most direct path.,11
1428,Brooklyn failed because they went the wrong direction.,12
1428,Chandler succeeded because they chose a shorter path.,13
1428,Angel failed because they took the long way around.,14
1428,Kirby failed because they chose a longer route.,15
1428,Morgan succeeded because Lake moved the box for them.,16
1428,River failed because Atlas moved the box into their way.,17
1428,Skylar succeeded by anticipating Rory's actions.,18
1428,Taylor succeeded because it was a simple grid.,19
1428,Cat succeeded because Kris did not push the box in front of them.,21
